"업종명","업소명","시도","시군구","소재지도로명주소","소재지지번주소","위도","경도","좌표출처","좌표출처URL","좌표검증상태","할인정보","적용대상","이용조건","인증방법","업소전화번호","출처유형","출처URL","최근확인일","혜택상태","수집자","비고"
"미용·뷰티","레드폴바버샵 강남신사점","서울특별시","강남구","서울특별시 강남구 논현로151길 41, 2층 201호","서울특별시 강남구 신사동 561","37.5195936","127.0248338","Geocoding API","https://map.naver.com/p/search/%EB%A0%88%EB%93%9C%ED%8F%B4%EB%B0%94%EB%B2%84%EC%83%B5%20%EA%B0%95%EB%82%A8%EC%8B%A0%EC%82%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C151%EA%B8%B8%2041","확인 완료","군인·경찰·소방관 할인 커트 39,000원→29,000원","군인·경찰·소방관","금·토요일 및 공휴일 할인 제외 안내가 있어 방문 전 재확인","군인증 또는 관련 신분 확인자료","070-8211-3668","이용 후기","https://blog.naver.com/brave1011/223781023634|https://blog.naver.com/eastssunrise/223641759588","2026-08-15","확인 필요","ilwoo-maker","가격·대상과 제외 요일을 공개 후기에서 확인; 현재 주소·전화 교차확인"
"미용·뷰티","레드폴바버샵 강남역삼점","서울특별시","강남구","서울특별시 강남구 도곡로3길 13, 르메이에르 2층 203-2호","서울특별시 강남구 역삼동 837-19","37.4910688","127.0326686","Geocoding API","https://map.naver.com/p/search/%EB%A0%88%EB%93%9C%ED%8F%B4%EB%B0%94%EB%B2%84%EC%83%B5%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%82%BC%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8F%84%EA%B3%A1%EB%A1%9C3%EA%B8%B8%2013%20%EB%A5%B4-%EB%A9%94%EC%9D%B4%EC%97%90%EB%A5%B4%20%ED%83%80%EC%9A%B4","확인 완료","군인·경찰·소방관 할인 커트 39,000원→29,000원","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","070-8672-9217","이용 후기","https://blog.naver.com/steadylog-/224304806064|https://blog.naver.com/wbwbxoxo/223892696793","2026-08-15","확인 필요","ilwoo-maker","현재 주소·전화와 할인 메뉴를 교차확인; 적용 요일은 결제 전 문의"
"음식","우동명가기리야마본진","서울특별시","강남구","서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))","","37.4971584","127.0304025","","","재확인 필요","서비스 이용료의 20% 할인","복무중인사람(현역병)","없음 | 혜택기간: 2024-11-12~","복무확인서","02-567-0068","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"카페","투오프커피","서울특별시","강남구","서울특별시 강남구역삼로9길20(역삼동, (1층))","","37.495297","127.0339254","","","재확인 필요","서비스 이용료의 20% 할인(모든 음료가 가능하나 병 음료는 제외)","동원훈련 이수자, 모범예비군, 복무중인사람","없음 | 혜택기간: 2024-04-17~2027-04-17","동원훈련이수증, 모범예비군증, 복무확인서","070-7704-6600","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","1년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"미용·뷰티","힐빌리바버샵","서울특별시","강동구","서울특별시 강동구 양재대로96길 26, 광남캐스빌 근생 101호","","37.5291947","127.1385431","Geocoding API","https://map.naver.com/p/search/%ED%9E%90%EB%B9%8C%EB%A6%AC%EB%B0%94%EB%B2%84%EC%83%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%96%91%EC%9E%AC%EB%8C%80%EB%A1%9C96%EA%B8%B8%2026%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EA%B4%91%EB%82%A8%EC%BA%90%EC%8A%A4%EB%B9%8C","확인 완료","군인·경찰·소방관 할인 제공(할인액 미공개; 일반 커트 공개가격 38,000원)","군인·경찰·소방관","혜택 변경 가능성이 있어 방문·예약 직전 업소 확인","군인증 또는 관련 신분 확인자료","0507-1380-0176","이용 후기","https://blog.naver.com/edh0368/224292893974","2026-08-15","확인 필요","ilwoo-maker","현재 주소·전화·메뉴와 군·경·소방 할인 안내를 교차확인; 할인액은 방문 전 문의"
"음식","가운소곱창","서울특별시","강동구","서울특별시 강동구상암로42(천호동, 131호)","","37.5495882","127.1279034","","","재확인 필요","서비스 이용료의 10% 할인","복무중인사람(현역병,사회복무요원,전문산업기능요원)","없음 | 혜택기간: 2024-05-10~2027-05-10","복무확인서","0507-1372-6863","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","3년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"미용·뷰티","송미용실","서울특별시","강북구","서울특별시 강북구인수봉로78길13(수유동)","","37.644609","127.0116053","","","재확인 필요","서비스 이용료 면제","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-14~2027-04-14","동원훈련이수,모범예비군,명문가증,복무확인서","02-905-2225","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","2년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"미용·뷰티","착한이발","서울특별시","강북구","서울특별시 강북구도봉로371(수유동, (지하1층))","","37.6404577","127.0278529","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-11~","동원훈련이수,모범예비군,명문가증,복무확인서","010-4769-2350","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
"음식","만미정 식당","서울특별시","강북구","서울특별시 강북구솔매로43길96(미아동)","","37.6299344","127.0228654","","","재확인 필요","서비스 이용료의 10% 할인 *강북구 착한가격(모범)가게기 때문에 뭐든지 잘 드실수 있습니다.","동원훈련 이수자, 모범예비군, 복무중인사람","없음 | 혜택기간: 2025-04-16~2027-04-16","동원훈련이수증,모범예비군증,복무확인서","02-983-8884","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","2년 (기간내 변경,해제 신청 없을 시 자동 재연장)"
"음식","강서풍천민물장어","서울특별시","강서구","서울특별시 강서구양천로18길9(방화동)","","37.5729726","126.812989","","","재확인 필요","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","02-2661-1033","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","이용 가능","ilwoo-maker","우대기간: 무기한"
