"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택상태","좌표검토상태","지도표시정책","혜택검토상태","출시판정","좌표검토행수","혜택검토행수","정본반영여부"
"2","레드폴바버샵 강남신사점","서울특별시","강남구","서울특별시 강남구 논현로151길 41, 2층 201호","서울특별시 강남구 신사동 561","확인 필요","확인 완료","좌표 마커 표시","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"3","레드폴바버샵 강남역삼점","서울특별시","강남구","서울특별시 강남구 도곡로3길 13, 르메이에르 2층 203-2호","서울특별시 강남구 역삼동 837-19","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"4","우동명가기리야마본진","서울특별시","강남구","서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"5","투오프커피","서울특별시","강남구","서울특별시 강남구역삼로9길20(역삼동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"6","힐빌리바버샵","서울특별시","강동구","서울특별시 강동구 양재대로96길 26, 광남캐스빌 근생 101호","","확인 필요","확인 완료","좌표 마커 표시","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"7","가운소곱창","서울특별시","강동구","서울특별시 강동구상암로42(천호동, 131호)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"8","송미용실","서울특별시","강북구","서울특별시 강북구인수봉로78길13(수유동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"9","착한이발","서울특별시","강북구","서울특별시 강북구도봉로371(수유동, (지하1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"10","만미정 식당","서울특별시","강북구","서울특별시 강북구솔매로43길96(미아동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"11","강서풍천민물장어","서울특별시","강서구","서울특별시 강서구양천로18길9(방화동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"12","공항두루치기","서울특별시","강서구","서울특별시 강서구양천로28(방화동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"13","김가네 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"14","일품사천불짬뽕","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"15","전주콩나물 해장국&지지미 방화점","서울특별시","강서구","서울특별시 강서구양천로6길28(방화동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"16","칼스토랑 방화점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (b106)))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"17","포아이니 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (본관동 104호))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"18","그로우빈스","서울특별시","강서구","서울특별시 강서구양천로18길16(방화동, (1층 101호))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"19","밀알카페","서울특별시","강서구","서울특별시 강서구강서로33길16(화곡동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"20","굿바이브바버샵","서울특별시","광진구","서울특별시 광진구 용마산로21길 27, 1층","","확인 필요","확인 완료","좌표 마커 표시","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"21","굿보이즈 바버샵","서울특별시","광진구","서울특별시 광진구 강변역로4길 56, 1층 7호 (구의동, 광진해모로리버뷰)","서울특별시 광진구 구의동 547-7","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"22","쵸리","서울특별시","광진구","서울특별시 광진구 뚝섬로51길 57, 1층","","확인 필요","확인 완료","좌표 마커 표시","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"23","무한정수제돈까스","서울특별시","광진구","서울특별시 광진구군자로102(군자동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"24","탄토탄토","서울특별시","광진구","서울특별시 광진구아차산로33길49(화양동, (2층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"25","보드게임카페 레드버튼 건대점","서울특별시","광진구","서울특별시 광진구동일로22길81(화양동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"26","9로평상","서울특별시","구로구","서울특별시 구로구 서해안로 2134 (항동)","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"27","국수집","서울특별시","동대문구","서울특별시 동대문구한천로14길63(장안동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"28","돈벼락김치삼겹살 장안동본점","서울특별시","동대문구","서울특별시 동대문구장한로26길24(장안동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
