"업종명","업소명","시도","시군구","소재지도로명주소","소재지지번주소","위도","경도","좌표출처","좌표출처URL","좌표검증상태","할인정보","적용대상","이용조건","인증방법","업소전화번호","출처유형","출처URL","최근확인일","혜택상태","수집자","비고"
"미용·뷰티","개성연출","경기도","동두천시","경기도 동두천시 정장로31-12, 1층(생연동)","","37.9047658","127.054556","Geocoding API","https://map.naver.com/p/search/%EA%B0%9C%EC%84%B1%EC%97%B0%EC%B6%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A0%95%EC%9E%A5%EB%A1%9C%2031-12","확인 완료","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-863-4570","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","고미나 헤어모드","경기도","동두천시","경기도 동두천시 동광로75-1(생연동)","","37.9089353","127.0566985","Geocoding API","https://map.naver.com/p/search/%EA%B3%A0%EB%AF%B8%EB%82%98%20%ED%97%A4%EC%96%B4%EB%AA%A8%EB%93%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C%2075-1","확인 완료","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-862-4203","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"숙박","그린파크모텔","경기도","동두천시","경기도 동두천시 어수로91-10(생연동)","","37.902995","127.0530101","Geocoding API","https://map.naver.com/p/search/%EA%B7%B8%EB%A6%B0%ED%8C%8C%ED%81%AC%EB%AA%A8%ED%85%94%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C%2091-10","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-862-1497","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","김희정헤어샵","경기도","동두천시","경기도 동두천시 지행로65, 2층(지행동)","","37.8926766","127.0544782","Geocoding API","https://map.naver.com/p/search/%EA%B9%80%ED%9D%AC%EC%A0%95%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C%2065%20%EB%8F%99%ED%98%84%EB%B9%8C%EB%94%A9","확인 완료","커트 10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","0507-1427-5681","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","넓은공간","경기도","동두천시","경기도 동두천시 평화로2910번길 82(상봉암동)","","37.9456285","127.0657472","Geocoding API","https://map.naver.com/p/search/%EB%84%93%EC%9D%80%EA%B3%B5%EA%B0%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2910%EB%B2%88%EA%B8%B8%2082","확인 완료","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-865-6787","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","다복식당","경기도","동두천시","경기도 동두천시 생연로177(생연동)","","37.9082713","127.0527418","Geocoding API","https://map.naver.com/p/search/%EB%8B%A4%EB%B3%B5%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20177","확인 완료","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-866-1463","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","대호숯불갈비","경기도","동두천시","경기도 동두천시 중앙로265번길 19(생연동)","","37.9052307","127.0526925","Geocoding API","https://map.naver.com/p/search/%EB%8C%80%ED%98%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%2019","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-868-0092","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"음식","동태한그릇","경기도","동두천시","경기도 동두천시 생연로155(생연동)","","37.9063421","127.0519865","Geocoding API","https://map.naver.com/p/search/%EB%8F%99%ED%83%9C%ED%95%9C%EA%B7%B8%EB%A6%87%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20155","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-862-0066","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"카페","롯데리아 동두천점","경기도","동두천시","경기도 동두천시 중앙로270(생연동)","","37.9056444","127.0542716","Geocoding API","https://map.naver.com/p/search/%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20270","확인 완료","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","031-867-5057","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
"미용·뷰티","리안헤어 동두천지행역점","경기도","동두천시","경기도 동두천시 지행로56, 205호(지행동)","","37.8920833","127.0533841","Geocoding API","https://map.naver.com/p/search/%EB%A6%AC%EC%95%88%ED%97%A4%EC%96%B4%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C%2056%20%EC%8A%A4%ED%83%80%EC%9B%94%EB%93%9C%EB%B9%8C%EB%94%A9","확인 완료","커트 5,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","0507-1404-8667","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","이용 가능","ilwoo-maker","사용자 제공 확장 파일 중 동두천시 공식 출처 행을 정규화"
