"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택검토보고서","혜택검토판정","좌표감사판정","좌표감사사유","권장좌표검증상태","최초POI조회어","POI조회어","POI조회방식","POI상호","POI도로명주소","POI지번주소","감사제안위도","감사제안경도","좌표출처URL","우선순위","검토작업","검토결정","정본반영여부","검토메모"
"341","구들장생고기","경기도","양주시","경기도 양주시 엄상동길 66","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","구들장생고기 경기도 양주시 엄상동길 66","구들장생고기 경기도 양주시 엄상동길 66","전체 주소 검색","<b>구들장생고기</b>","경기도 양주시 엄상동길 66","경기도 양주시 고암동 148","37.8314259","127.069763","https://map.naver.com/p/search/%EA%B5%AC%EB%93%A4%EC%9E%A5%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%97%84%EC%83%81%EB%8F%99%EA%B8%B8%2066","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"351","만수장","경기도","양주시","경기도 양주시 평화로 1552-1","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","만수장 경기도 양주시 평화로 1552-1","만수장 경기도 양주시 평화로 1552-1","전체 주소 검색","<b>만수장</b>","경기도 양주시 평화로 1552-1","경기도 양주시 회정동 870-1","37.8276625","127.0536576","https://map.naver.com/p/search/%EB%A7%8C%EC%88%98%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%201552-1","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"355","소문난쭈꾸미생삼겹","경기도","양주시","경기도 양주시 엄상동길 50-16","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","소문난쭈꾸미생삼겹 경기도 양주시 엄상동길 50-16","소문난쭈꾸미생삼겹 경기도 양주시 엄상동길 50-16","전체 주소 검색","<b>소문난쭈꾸미생삼겹</b>","경기도 양주시 엄상동길 50-16","경기도 양주시 고암동 160-1","37.8307466","127.0687841","https://map.naver.com/p/search/%EC%86%8C%EB%AC%B8%EB%82%9C%EC%AD%88%EA%BE%B8%EB%AF%B8%EC%83%9D%EC%82%BC%EA%B2%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%97%84%EC%83%81%EB%8F%99%EA%B8%B8%2050-16","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"362","장흥숯불갈비","경기도","양주시","경기도 양주시 화합로1361번길 32","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","장흥숯불갈비 경기도 양주시 화합로1361번길 32","장흥숯불갈비 경기도 양주시 화합로1361번길 32","전체 주소 검색","<b>장흥숯불갈비</b>","경기도 양주시 화합로1361번길 32","경기도 양주시 덕정동 132-17","37.8436292","127.0640493","https://map.naver.com/p/search/%EC%9E%A5%ED%9D%A5%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%ED%99%94%ED%95%A9%EB%A1%9C1361%EB%B2%88%EA%B8%B8%2032","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"363","정주산장","경기도","양주시","경기도 양주시 장흥면 호국로550번길 102-127","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","정주산장 경기도 양주시 장흥면 호국로550번길 102-127","정주산장 경기도 양주시 장흥면 호국로550번길 102-127","전체 주소 검색","<b>정주산장</b>","경기도 양주시 장흥면 호국로550번길 102-127","경기도 양주시 장흥면 울대리 541-1","37.7128723","126.9823311","https://map.naver.com/p/search/%EC%A0%95%EC%A3%BC%EC%82%B0%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%9E%A5%ED%9D%A5%EB%A9%B4%20%ED%98%B8%EA%B5%AD%EB%A1%9C550%EB%B2%88%EA%B8%B8%20102-127","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"365","초가마을","경기도","양주시","경기도 양주시 장흥면 권율로309번길 159","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","초가마을 경기도 양주시 장흥면 권율로309번길 159","초가마을 경기도 양주시 장흥면 권율로309번길 159","전체 주소 검색","<b>초가마을</b>","경기도 양주시 장흥면 권율로309번길 159","경기도 양주시 장흥면 석현리 328","37.7446708","126.9510398","https://map.naver.com/p/search/%EC%B4%88%EA%B0%80%EB%A7%88%EC%9D%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%9E%A5%ED%9D%A5%EB%A9%B4%20%EA%B6%8C%EC%9C%A8%EB%A1%9C309%EB%B2%88%EA%B8%B8%20159","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"368","행복한사람들","경기도","양주시","경기도 양주시 백석읍 권율로 852","","yangju-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","확인 후보","단일 상호·주소 일치 후보","확인 완료","행복한사람들 경기도 양주시 백석읍 권율로 852","행복한사람들 경기도 양주시 백석읍 권율로 852","전체 주소 검색","<b>행복한사람들</b>","경기도 양주시 백석읍 권율로 852","경기도 양주시 백석읍 기산리 131-2","37.774723","126.961398","https://map.naver.com/p/search/%ED%96%89%EB%B3%B5%ED%95%9C%EC%82%AC%EB%9E%8C%EB%93%A4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%B0%B1%EC%84%9D%EC%9D%8D%20%EA%B6%8C%EC%9C%A8%EB%A1%9C%20852","P1","지도 POI 상호·주소를 사람이 대조한 뒤 승인 또는 반려","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"118","개성연출","경기도","동두천시","경기도 동두천시 정장로31-12, 1층(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","개성연출 경기도 동두천시 정장로31-12, 1층(생연동)","개성연출 경기도 동두천시 정장로31-12","도로명·건물번호 보조 검색","<b>개성연출</b>","경기도 동두천시 정장로 31-12 . 1층","경기도 동두천시 생연동 650-14 . 1층","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"119","고미나 헤어모드","경기도","동두천시","경기도 동두천시 동광로75-1(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","전체 주소 검색","<b>고미나헤어모드</b>","경기도 동두천시 동광로 75-1 1층","경기도 동두천시 생연동 615-21 1층","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
"151","그린파크모텔","경기도","동두천시","경기도 동두천시 어수로91-10(생연동)","","ddc-benefit-comparison-20260906.csv","현재 공식 목록 일치 후보","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","재확인 필요","그린파크모텔 경기도 동두천시 어수로91-10(생연동)","그린파크모텔 경기도 동두천시 어수로91-10(생연동)","전체 주소 검색","<b>그린파크모텔</b>","경기도 동두천시 어수로 91-10","경기도 동두천시 생연동 690-8","","","","P2","동일 상호·주소 후보를 지도에서 분기·지점까지 재확인","미검토","아니오","좌표·혜택 어느 쪽도 정본에 자동 반영하지 않음"
