"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식할인정보","상호주소일치","전화일치","할인일치","판정","검토결정","정본반영여부"
"118","개성연출","경기도 동두천시 정장로31-12, 1층(생연동)","031-863-4570","커트 2,000원","개성연출","정장로 31-12, 1층(생연동)","031-863-4570","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"119","고미나 헤어모드","경기도 동두천시 동광로75-1(생연동)","031-862-4203","커트 2,000원","고미나 헤어모드","동광로 75-1(생연동)","031-862-4203","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"120","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","0507-1427-5681","커트 10%","김희정헤어샵","지행로 65, 2층 (지행동, 동현빌딩)","0507-1427-5681","커트 10% 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"121","까미헤어","경기도 동두천시 평화로2261번길 52(지행동)","031-859-4600","커트 5,000원","까미헤어","평화로 2261번길 52","031-859-4600","커트 5,000원 할인 (커트 현금가 10,000원)","True","True","False","상세정보 재확인 필요","미검토","아니오"
"122","노블헤어","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","031-862-4321","커트 20%","노블헤어","거북마루로 45, 상가동 202호 (생연동, 동두천대방노블랜드아파트)","031-862-4321","커트 20% 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"123","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","0507-1404-8667","커트 5,000원","리안헤어 동두천지행역점","지행로 56, 205호(지행동, 스타월드빌딩)","0507-1404-8667","커트 5,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","0507-1390-5021","커트 3,000원","마샹스헤어살롱","중앙로 134-20, 202호 (지행동)","0507-1390-5021","커트 3,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","031-867-5116","커트 2,000원","박미라 헤어스토리","평화로 2452-1(생연동)","031-867-5116","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"126","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","031-861-9858","커트 1,000원","보배헤어샵","중앙로 286번길 21-3(생연동)","031-861-9858","커트 1,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"127","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","031-865-6039","커트 2,000원","삐삐머리방","평화로2530번길 35 (보산동)","031-865-6039","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"128","샤론의꽃 미용아카데미","경기도 동두천시 중앙로7번길 15(송내동)","031-821-4438","커트 20%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"129","세아떼바버샵","경기도 동두천시 이담로89, 상가동 106호(지행동)","","카드 5%, 현금 10%","세아떼바버샵","이담로 89, 상가동 106호 (지행동, 지행역 동원 베네스트)","-","커트 카드 5% 할인 현금 10% 할인","True","False","False","상세정보 재확인 필요","미검토","아니오"
"130","신성순 헤어아트","경기도 동두천시 중앙로278, 2층(생연동)","031-862-7652","커트 3,000원","신성순 헤어아트","중앙로 278, 2층 (생연동)","031-862-7652","커트 3,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"131","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","031-867-2951","커트 1,000원","신지미헤어라인","광암로 33번길 13-10(광암동)","031-867-2951","커트 1,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"132","안다미로","경기도 동두천시 지행로107번길 13(지행동)","0507-1309-7605","커트 4,000원","안다미로","지행로 107번길 13","0507-1309-7605","커트 4,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"133","에이치H헤어","경기도 동두천시 중앙로134-26, 1층 105호(지행동)","031-858-8934","10%","에이치H헤어","중앙로 134-26, 1층 105호 (지행동, 이호빌딩)","031-858-8934","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"134","이선희헤어샵","경기도 동두천시 삼육사로896, 1층(생연동)","031-862-8359","커트 20%","이선희헤어샵","삼육사로 896, 1층(생연동)","031-862-8359","커트 20% 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"135","이지현미용실","경기도 동두천시 중앙로295번길 26(생연동)","0507-1417-3089","커트 2,000원","이지현미용실","중앙로295번길 26(생연동)","0507-1417-3089","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"136","인헤어","경기도 동두천시 삼육사로902, 2동 104호(생연동)","031-858-9785","커트 2,000원","인헤어","동두천시 삼육사로 902, 2동 104호 (생연동)","031-858-9785","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"137","잔디이발관","경기도 동두천시 중앙로369(보산동)","","커트 3,000원","잔디이발관","중앙로 369(보산동)","-","커트 3,000원 할인","True","False","True","상세정보 재확인 필요","미검토","아니오"
"138","쟝스헤어","경기도 동두천시 평화로2915(상봉암동)","031-865-7857","커트 1,000원","쟝스헤어","평화로 2915 (상봉암동)","031-865-7857","커트 1,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"139","정헤어샾","경기도 동두천시 동광로83-1(생연동)","","커트 1,000원","","","","","False","False","False","공식목록 미발견","미검토","아니오"
"140","제이제이 남성컷트전문","경기도 동두천시 평화로2530번길 30(보산동)","","커트 2,000원","제이제이 남성컷트전문","평화로 2530번길 30","-","커트 2,000원 할인","True","False","True","상세정보 재확인 필요","미검토","아니오"
"141","젠틀맨","경기도 동두천시 중앙로362번길 8(생연동)","","커트 2,000원","젠틀맨","중앙로 362번길 8(생연동)","-","커트 2,000원 할인","True","False","True","상세정보 재확인 필요","미검토","아니오"
"142","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","031-863-6131","커트 10,000원","차희에스 머리사랑","행선로 98(생연동)","031-863-6131","커트 10,000원","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"143","최재실 원헤어","경기도 동두천시 평화로2397번길 17, 2층(생연동)","0507-1346-7739","커트 5,000원","최재실 원헤어","평화로 2397번길 17, 2층(생연동)","0507-1346-7739","커트 3,000원 할인","True","True","False","상세정보 재확인 필요","미검토","아니오"
"144","추은옥머리쟁이","경기도 동두천시 행선로102(생연동)","031-862-5955","20%","추은옥머리쟁이","행선로 102(생연동, 에이스상가동 204호)","031-862-5955","커트 20% 할인","True","True","False","상세정보 재확인 필요","미검토","아니오"
"145","쿨헤어샵","경기도 동두천시 중앙로311(생연동)","","커트 2,000원","","","","","False","False","False","공식목록 미발견","미검토","아니오"
"146","하니머리나라","경기도 동두천시 삼육사로1002번길 97(지행동)","031-867-6674","커트 1,000원","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"147","헤어고","경기도 동두천시 중앙로230-1, 1층(생연동)","","커트 20%","헤어고","중앙로230-1, 1층(생연동)","-","커트 20% 할인","True","False","True","상세정보 재확인 필요","미검토","아니오"
"148","헤어바이 미정","경기도 동두천시 중앙로265번길 8(생연동)","031-858-5936","커트 2,000원","헤어바이 미정","중앙로 265번길 8(생연동)","031-858-5936","커트 2,000원 할인","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"149","헤어뱅크","경기도 동두천시 중앙로297, 1층 104호(생연동)","","커트 2,000원","헤어뱅크","중앙로 297 1층 104호","-","커트 2,000원 할인","True","False","True","상세정보 재확인 필요","미검토","아니오"
"150","헤어카페","경기도 동두천시 행선로110번길 9, 상가동 102호(생연동)","031-868-1535","커트 10%","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"151","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","031-862-1497","10%","그린파크모텔","어수로 91-10(생연동)","031-862-1497","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"152","제이(J)모텔","경기도 동두천시 동두천로247-13(생연동)","031-864-4235","10%","제이(J)모텔","동두천로 247-13(생연동)","031-864-4235","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"153","강스시","경기도 동두천시 어수로83번길 38, 1층(생연동)","031-865-8266","메뉴당 1,000원","강스시","어수로 83번길 38, 1층(생연동)","031-865-8266","메뉴당 1,000원 할인 (점심특선, 도시락세트 제외)","True","True","False","상세정보 재확인 필요","미검토","아니오"
"154","거북이삼겹살","경기도 동두천시 생연로175, 1층(생연동)","031-864-3229","5%","거북이삼겹살","생연로 175, 1층(생연동)","031-864-3229","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"155","고기싸롱","경기도 동두천시 평화로2313번길 7-26(지행동)","031-867-9233","5%","고기싸롱","평화로2313번길 7-26 (지행동)","031-867-9233","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"156","고봉민김밥 지행역점","경기도 동두천시 중앙로126, 107호(지행동)","031-863-2340","10%","고봉민김밥 지행역점","중앙로 126, 107호 (지행동, 생연프라자)","031-863-2340","10%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"157","그집순대국","경기도 동두천시 장고갯로157, 제1동(생연동)","031-863-2254","5%","그집순대국","장고갯로 157, 제1동(생연동)","031-863-2254","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"158","깐부치킨 동두천지행역점","경기도 동두천시 중앙로134-20, 1층(지행동)","031-858-9300","5% (포장·방문)","","","","","False","False","False","주소 재확인 필요","미검토","아니오"
"159","넓은공간","경기도 동두천시 평화로2910번길 82(상봉암동)","031-865-6787","5%","넓은공간","평화로 2910번길 82(상봉암동)","031-865-6787","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"160","다복식당","경기도 동두천시 생연로177(생연동)","031-866-1463","5%","다복식당","생연로 177(생연동)","031-866-1463","5%","True","True","True","현재 공식 목록 일치 후보","미검토","아니오"
