"정본CSV행번호","업소명","소재지도로명주소","혜택근거상태","혜택문구유형","출시할인정보","출시적용대상","출시이용조건","출시인증방법","출처유형","출처URL","최근확인일","결정근거"
"74","게이트호텔","파주시 광탄면 보광로 505","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"75","두둑한한판","파주시 광탄면 보광로 646","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"76","레드브릿지","파주시 광탄면 기산로 329","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"77","숙성사돈 파주광탄점","파주시 광탄면 큰여울길 8-1","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"78","신나는 등갈비 엔 닭발","파주시 광탄면 혜음로 1117-1 1층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"79","엘리스오븐","파주시 광탄면 기산로 195 1,2층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"80","장단콩두부전문점","파주시 광탄면 큰여울길 35 1층 일부","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"81","풍미진해장국 광탄직영점","파주시 광탄면 부흥로 30 B동 1층 전체","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"82","조아의 하루","파주시 광탄면 혜음로 1191 1~2층","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
"83","카페바스","파주시 광탄면 왕수물길 4 광천목욕탕 1층 일부","공식 최신 근거 확인","공통","군 장병·사회복무요원 대상 10% 이상 할인 또는 상응 서비스","관내 주둔 군 장병·사회복무요원","업소별 적용 품목·조건은 방문 전 확인","파주시 공식 군장병 할인업소 목록 및 운영 안내","지자체 공식 자료","https://www.paju.go.kr/www/www_02/health/health_03/health_03_09/health_03_09_01.jsp | https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-09-06","파주시 공식 참여업소 목록 일치, 공식 공통 할인 정책 적용"
