"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식출처URL","상호주소일치","전화일치","혜택상세검증","판정","검토결정","정본반영여부"
"74","게이트호텔","파주시 광탄면 보광로 505","031-947-2888","10%할인","게이트호텔","파주시 광탄면 보광로 505","031-947-2888","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"75","두둑한한판","파주시 광탄면 보광로 646","031-949-7646","10%할인","두둑한한판","파주시 광탄면 보광로 646","031-949-7646","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"76","레드브릿지","파주시 광탄면 기산로 329","070-8880-5555","10%할인","레드브릿지","파주시 광탄면 기산로 329","070-8880-5555","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"77","숙성사돈 파주광탄점","파주시 광탄면 큰여울길 8-1","070-7817-7818","10%이상 서비스제공","숙성사돈 파주광탄점","파주시 광탄면 큰여울길 8-1","070-7817-7818","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"78","신나는 등갈비 엔 닭발","파주시 광탄면 혜음로 1117-1 1층","031-943-3545","5%할인","신나는 등갈비 엔 닭발","파주시 광탄면 혜음로 1117-1 1층","031-943-3545","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"79","엘리스오븐","파주시 광탄면 기산로 195 1,2층","031-942-1432","5%할인","엘리스오븐","파주시 광탄면 기산로 195 1,2층","031-942-1432","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"80","장단콩두부전문점","파주시 광탄면 큰여울길 35 1층 일부","031-941-1989","10%할인","장단콩두부전문점","파주시 광탄면 큰여울길 35 1층 일부","031-941-1989","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"81","풍미진해장국 광탄직영점","파주시 광탄면 부흥로 30 B동 1층 전체","031-945-1211","음료수 제공","풍미진해장국 광탄직영점","파주시 광탄면 부흥로 30 B동 1층 전체","031-945-1211","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"82","조아의 하루","파주시 광탄면 혜음로 1191 1~2층","031-944-1191","10% 이상 할인 또는 그에 상응하는 서비스(업소별 상세는 사전 확인)","조아의 하루","파주시 광탄면 혜음로 1191 1~2층","031-944-1191","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"83","카페바스","파주시 광탄면 왕수물길 4 광천목욕탕 1층 일부","0507-1329-3073","20%할인","카페바스","파주시 광탄면 왕수물길 4 광천목욕탕 1층 일부","0507-1329-3073","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"84","민바리매운탕","파주시 쌀뚜기길 44-42 (문발동)","031-949-8266","5%할인","민바리매운탕","파주시 쌀뚜기길 44-42 (문발동)","031-949-8266","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"85","여명양평해장국","파주시 지목로 65 (신촌동)","031-946-8001","10%할인","여명양평해장국","파주시 지목로 65 (신촌동)","031-946-8001","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"86","해울한정식","파주시 지목로 65 (신촌동)","031-949-9939","10%할인","해울한정식","파주시 지목로 65 (신촌동)","031-949-9939","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"87","아레볼","파주시 소라지로 309-12 (송촌동)","031-949-5678","10%할인","아레볼","파주시 소라지로 309-12 (송촌동)","031-949-5678","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"97","금헤어","파주시 금정4길 16 (금촌동)","031-944-5695","10%할인","금헤어","파주시 금정4길 16 (금촌동)","031-944-5695","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"98","이브 헤어샵","파주시 금정14길 35 (아동동)","031-941-1235","20%할인","이브 헤어샵","파주시 금정14길 35 (아동동)","031-941-1235","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
"99","이정호 모델헤어","파주시 중앙로 318-1 (금촌동)","031-948-9439","10%이상 할인(컷트 17000원→15000원)","이정호 모델헤어","파주시 중앙로 318-1 (금촌동)","031-948-9439","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","True","True","참여 목록은 일치하나 개별 할인 조건 미기재","공식 참여업소 일치 후보","미검토","아니오"
