"정본행번호","업소명","입력주소","기존위도","기존경도","최초POI조회어","POI조회어","POI조회방식","POI후보수","POI상호","POI도로명주소","POI지번주소","POI상호일치","POI주소일치","APIHUB좌표후보수","제안위도","제안경도","좌표출처","좌표출처URL","권장좌표검증상태","판정","검토사유","확인일"
"116","파주새말육심","파주시 정담길 41 (아동동) 1층","37.7699665","126.7768771","파주새말육심 파주시 정담길 41 (아동동) 1층","파주새말육심 파주시 정담길 41 (아동동) 1층","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-08"
"117","수민헤어","경기도 김포시통진읍조강로98(통진읍서암리, 1층)","37.6929395","126.5959984","수민헤어 경기도 김포시통진읍조강로98(통진읍서암리, 1층)","수민헤어 경기도 김포시통진읍조강로98(통진읍서암리","도로명·건물번호 보조 검색","1","<b>수민헤어</b>","경기도 김포시 통진읍 조강로 98 1층","경기도 김포시 통진읍 서암리 763-3 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"118","개성연출","경기도 동두천시 정장로31-12, 1층(생연동)","37.9047658","127.054556","개성연출 경기도 동두천시 정장로31-12, 1층(생연동)","개성연출 경기도 동두천시 정장로31-12","도로명·건물번호 보조 검색","1","<b>개성연출</b>","경기도 동두천시 정장로 31-12 . 1층","경기도 동두천시 생연동 650-14 . 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"119","고미나 헤어모드","경기도 동두천시 동광로75-1(생연동)","37.9089353","127.0566985","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","전체 주소 검색","1","<b>고미나헤어모드</b>","경기도 동두천시 동광로 75-1 1층","경기도 동두천시 생연동 615-21 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"120","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","37.8926766","127.0544782","김희정헤어샵 경기도 동두천시 지행로65, 2층(지행동)","김희정헤어샵 경기도 동두천시 지행로65","도로명·건물번호 보조 검색","1","<b>김희정헤어샵</b>","경기도 동두천시 지행로 65 동현프라자 202호","경기도 동두천시 지행동 695-3 동현프라자 202호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"121","까미헤어","경기도 동두천시 평화로2261번길 52(지행동)","37.8915973","127.0565646","까미헤어 경기도 동두천시 평화로2261번길 52(지행동)","까미헤어 경기도 동두천시 평화로2261번길 52(지행동)","전체 주소 검색","1","<b>까미헤어</b>","경기도 동두천시 평화로2261번길 52","경기도 동두천시 지행동 735","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"122","노블헤어","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","37.8974429","127.0509186","노블헤어 경기도 동두천시 거북마루로45, 상가동 202호(생연동)","노블헤어 경기도 동두천시 거북마루로45","도로명·건물번호 보조 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-08"
"123","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","37.8920833","127.0533841","리안헤어 동두천지행역점 경기도 동두천시 지행로56, 205호(지행동)","리안헤어 동두천지행역점 경기도 동두천시 지행로56","도로명·건물번호 보조 검색","1","<b>리안헤어 동두천지행역점</b>","경기도 동두천시 지행로 56 스타월드빌딩 205호","경기도 동두천시 지행동 718-4 스타월드빌딩 205호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","37.8930182","127.0538205","마샹스헤어살롱 경기도 동두천시 중앙로134-20, 202호(지행동)","마샹스헤어살롱 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","1","<b>마샹스헤어살롱</b>","경기도 동두천시 중앙로 134-20 2층 202호 마샹스헤어살롱","경기도 동두천시 지행동 694-5 2층 202호 마샹스헤어살롱","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
"125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","37.9066868","127.0583546","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","전체 주소 검색","1","<b>박미라헤어스토리</b>","경기도 동두천시 평화로 2452-1","경기도 동두천시 생연동 480-27","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-08"
