"정본행번호","업소명","입력주소","기존위도","기존경도","최초POI조회어","POI조회어","POI조회방식","POI후보수","POI상호","POI도로명주소","POI지번주소","POI상호일치","POI주소일치","APIHUB좌표후보수","제안위도","제안경도","좌표출처","좌표출처URL","권장좌표검증상태","판정","검토사유","확인일"
"2","개성연출","경기도 동두천시 정장로31-12, 1층(생연동)","37.9047658","127.054556","개성연출 경기도 동두천시 정장로31-12, 1층(생연동)","개성연출 경기도 동두천시 정장로31-12","도로명·건물번호 보조 검색","1","<b>개성연출</b>","경기도 동두천시 정장로 31-12 . 1층","경기도 동두천시 생연동 650-14 . 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"3","고미나 헤어모드","경기도 동두천시 동광로75-1(생연동)","37.9089353","127.0566985","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","고미나 헤어모드 경기도 동두천시 동광로75-1(생연동)","전체 주소 검색","1","<b>고미나헤어모드</b>","경기도 동두천시 동광로 75-1 1층","경기도 동두천시 생연동 615-21 1층","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"4","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","37.902995","127.0530101","그린파크모텔 경기도 동두천시 어수로91-10(생연동)","그린파크모텔 경기도 동두천시 어수로91-10(생연동)","전체 주소 검색","1","<b>그린파크모텔</b>","경기도 동두천시 어수로 91-10","경기도 동두천시 생연동 690-8","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"5","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","37.8926766","127.0544782","김희정헤어샵 경기도 동두천시 지행로65, 2층(지행동)","김희정헤어샵 경기도 동두천시 지행로65","도로명·건물번호 보조 검색","1","<b>김희정헤어샵</b>","경기도 동두천시 지행로 65 동현프라자 202호","경기도 동두천시 지행동 695-3 동현프라자 202호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"6","넓은공간","경기도 동두천시 평화로2910번길 82(상봉암동)","37.9456285","127.0657472","넓은공간 경기도 동두천시 평화로2910번길 82(상봉암동)","넓은공간 경기도 동두천시 평화로2910번길 82(상봉암동)","전체 주소 검색","1","<b>넓은공간</b>","경기도 동두천시 평화로2910번길 82","경기도 동두천시 상봉암동 8-4","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"7","다복식당","경기도 동두천시 생연로177(생연동)","37.9082713","127.0527418","다복식당 경기도 동두천시 생연로177(생연동)","다복식당 경기도 동두천시 생연로177(생연동)","전체 주소 검색","1","<b>다복식당</b>","경기도 동두천시 생연로 177","경기도 동두천시 생연동 586-4","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"8","대호숯불갈비","경기도 동두천시 중앙로265번길 19(생연동)","37.9052307","127.0526925","대호숯불갈비 경기도 동두천시 중앙로265번길 19(생연동)","대호숯불갈비 경기도 동두천시 중앙로265번길 19(생연동)","전체 주소 검색","1","<b>대호숯불갈비</b>","경기도 동두천시 중앙로265번길 19 대호숯불갈비","경기도 동두천시 생연동 659-32 대호숯불갈비","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"9","동태한그릇","경기도 동두천시 생연로155(생연동)","37.9063421","127.0519865","동태한그릇 경기도 동두천시 생연로155(생연동)","동태한그릇 경기도 동두천시 생연로155(생연동)","전체 주소 검색","1","<b>동태한그릇</b>","경기도 동두천시 생연로 155","경기도 동두천시 생연동 825-38","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"10","롯데리아 동두천점","경기도 동두천시 중앙로270(생연동)","37.9056444","127.0542716","롯데리아 동두천점 경기도 동두천시 중앙로270(생연동)","롯데리아 동두천점 경기도 동두천시 중앙로270(생연동)","전체 주소 검색","1","<b>롯데리아 동두천점</b>","경기도 동두천시 중앙로 270","경기도 동두천시 생연동 595-1","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
"11","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","37.8920833","127.0533841","리안헤어 동두천지행역점 경기도 동두천시 지행로56, 205호(지행동)","리안헤어 동두천지행역점 경기도 동두천시 지행로56","도로명·건물번호 보조 검색","1","<b>리안헤어 동두천지행역점</b>","경기도 동두천시 지행로 56 스타월드빌딩 205호","경기도 동두천시 지행동 718-4 스타월드빌딩 205호","True","False","0","","","","","재확인 필요","재확인 필요","상호는 일치하지만 주소가 일치하지 않습니다","2026-09-06"
