"정본행번호","업소명","입력주소","기존위도","기존경도","최초POI조회어","POI조회어","POI조회방식","POI후보수","POI상호","POI도로명주소","POI지번주소","POI상호일치","POI주소일치","APIHUB좌표후보수","제안위도","제안경도","좌표출처","좌표출처URL","권장좌표검증상태","판정","검토사유","확인일"
"322","성신양꼬치","경기도 안양시 동안구흥안대로493- 161층 (관양동)","37.39855","126.975824","성신양꼬치 경기도 안양시 동안구흥안대로493- 161층 (관양동)","성신양꼬치 경기도 안양시 동안구흥안대로493- 161층 (관양동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"323","옥천냉면","경기도 안양시 동안구관악대로374번길9- 211층 (관양동)","37.404003","126.965853","옥천냉면 경기도 안양시 동안구관악대로374번길9- 211층 (관양동)","옥천냉면 경기도 안양시 동안구관악대로374번길9- 211층 (관양동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"324","외할머니소머리국밥","경기도 안양시 동안구안양판교로14- 1(관양동)","37.400715","126.977622","외할머니소머리국밥 경기도 안양시 동안구안양판교로14- 1(관양동)","외할머니소머리국밥 경기도 안양시 동안구안양판교로14- 1(관양동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"325","이엔(주)양파백세탕","경기도 안양시 동안구동편로20번길16109호(관양동, 신안시티)","37.4053801","126.9718344","이엔(주)양파백세탕 경기도 안양시 동안구동편로20번길16109호(관양동, 신안시티)","이엔(주)양파백세탕 경기도 안양시 동안구동편로20번길16109호(관양동","도로명·건물번호 보조 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"326","한제소곱창전골 안양일번가점","경기도 안양시 만안구장내로139- 01층 (안양동)","37.397945","126.922929","한제소곱창전골 안양일번가점 경기도 안양시 만안구장내로139- 01층 (안양동)","한제소곱창전골 안양일번가점 경기도 안양시 만안구장내로139- 01층 (안양동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"327","황기순손칼국수&왕돈까스","경기도 안양시 동안구인덕원로13(관양동)","37.40119","126.973496","황기순손칼국수&왕돈까스 경기도 안양시 동안구인덕원로13(관양동)","황기순손칼국수&왕돈까스 경기도 안양시 동안구인덕원로13(관양동)","전체 주소 검색","1","","","","False","False","0","","","","","미확인","미확인","상호와 주소가 일치하는 후보가 없습니다","2026-09-06"
"328","레스트앤드","경기도 안양시 동안구평촌대로419- 7(비산동)","37.408322","126.950228","레스트앤드 경기도 안양시 동안구평촌대로419- 7(비산동)","레스트앤드 경기도 안양시 동안구평촌대로419- 7(비산동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"329","안다미로","경기도 안양시 동안구평촌대로440(비산동)","37.410012","126.95088","안다미로 경기도 안양시 동안구평촌대로440(비산동)","안다미로 경기도 안양시 동안구평촌대로440(비산동)","전체 주소 검색","1","","","","False","False","0","","","","","미확인","미확인","상호와 주소가 일치하는 후보가 없습니다","2026-09-06"
"330","오로라케이크&쿠키","경기도 안양시 동안구동편로1461층 (관양동)","37.409274","126.966889","오로라케이크&쿠키 경기도 안양시 동안구동편로1461층 (관양동)","오로라케이크&쿠키 경기도 안양시 동안구동편로1461층 (관양동)","전체 주소 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
"331","카페 두둥실","경기도 안양시 동안구시민대로187102호(비산동, 안양건설타워)","37.3917697","126.9516859","카페 두둥실 경기도 안양시 동안구시민대로187102호(비산동, 안양건설타워)","카페 두둥실 경기도 안양시 동안구시민대로187102호(비산동","도로명·건물번호 보조 검색","0","","","","False","False","0","","","","","미확인","미확인","지역 검색 결과가 없습니다","2026-09-06"
