"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"442","442","로즈헤어샾","파주시 파주읍 파발로 4","경기도 파주시 파주읍 파주리 441-13","37.8323779102","126.8177795315","재확인 필요","37.8289834","126.8390115","6000컷트","경기 파주시 파주읍 술이홀로 470","","네이버 지도","https://map.naver.com/p/search/6000%EC%BB%B7%ED%8A%B8%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%EC%A3%BC%EC%9D%8D%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C%20470","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"74","74","두둑한한판","파주시 광탄면 보광로 646","경기도 파주시 광탄면 영장리 357-10","37.7641974792","126.9039621459","재확인 필요","37.7533743","126.9108688","게이트호텔","경기 파주시 광탄면 보광로 505","","네이버 지도","https://map.naver.com/p/search/%EA%B2%8C%EC%9D%B4%ED%8A%B8%ED%98%B8%ED%85%94%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EA%B4%91%ED%83%84%EB%A9%B4%20%EB%B3%B4%EA%B4%91%EB%A1%9C%20505","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"394","394","능이백숙오리닭칼국수","파주시 적성면 칠중2길 144","경기도 파주시 적성면 구읍리 162-4","37.9564270142","126.9272009682","재확인 필요","37.955492","126.91751","그때그집","경기 파주시 적성면 솥뒤로 15 그때그집","","네이버 지도","https://map.naver.com/p/search/%EA%B7%B8%EB%95%8C%EA%B7%B8%EC%A7%91%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%86%A5%EB%92%A4%EB%A1%9C%2015","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"240","240","네네치킨","파주시 법원읍 사임당로 791","경기도 파주시 법원읍 가야리 37-7","37.850200357","126.8688145743","재확인 필요","37.8492679","126.874175","김밥나라","경기 파주시 법원읍 사임당로 839","","네이버 지도","https://map.naver.com/p/search/%EA%B9%80%EB%B0%A5%EB%82%98%EB%9D%BC%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%82%AC%EC%9E%84%EB%8B%B9%EB%A1%9C%20839","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"444","444","뚱이네","파주시 파주읍 교육길 45-32 나동 102호","경기도 파주시 파주읍 연풍리 415-5","37.8330557499","126.8342834706","재확인 필요","37.8319357","126.817786","남해바다","경기 파주시 파주읍 시장거리길 59-7","","네이버 지도","https://map.naver.com/p/search/%EB%82%A8%ED%95%B4%EB%B0%94%EB%8B%A4%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%EC%A3%BC%EC%9D%8D%20%EC%8B%9C%EC%9E%A5%EA%B1%B0%EB%A6%AC%EA%B8%B8%2059-7","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"204","204","두근두근","파주시 문산읍 당동2로 11-1","경기도 파주시 문산읍 당동리 888","37.8676550313","126.783859722","재확인 필요","37.8674322","126.7844243","누구나홀딱반한닭 문산당동점","경기 파주시 문산읍 당동2로 11-5","","네이버 지도","https://map.naver.com/p/search/%EB%88%84%EA%B5%AC%EB%82%98%ED%99%80%EB%94%B1%EB%B0%98%ED%95%9C%EB%8B%AD%20%EB%AC%B8%EC%82%B0%EB%8B%B9%EB%8F%99%EC%A0%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%8B%B9%EB%8F%992%EB%A1%9C%2011-5","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"103","103","미몽 파주금촌점","파주시 동산8길 39 (금촌동)","경기도 파주시 금촌동 945-33","37.7579932672","126.7723132633","재확인 필요","37.7631012","126.7729441","덕성원","경기 파주시 명동길 43","","네이버 지도","https://map.naver.com/p/search/%EB%8D%95%EC%84%B1%EC%9B%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AA%85%EB%8F%99%EA%B8%B8%2043%20%28%EA%B8%88%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"396","396","두지리별장매운탕","파주시 적성면 술이홀로2316번길 18","경기도 파주시 적성면 두지리 94-9","37.9625791248","126.8939840816","재확인 필요","37.9631081","126.8940942","두지리강촌매운탕","경기 파주시 적성면 술이홀로2316번길 31","","네이버 지도","https://map.naver.com/p/search/%EB%91%90%EC%A7%80%EB%A6%AC%EA%B0%95%EC%B4%8C%EB%A7%A4%EC%9A%B4%ED%83%95%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C2316%EB%B2%88%EA%B8%B8%2031","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"76","76","숙성사돈 파주광탄점","파주시 광탄면 큰여울길 8-1","경기도 파주시 광탄면 신산리 188-97","37.7787288253","126.8492861243","재확인 필요","37.7739194","126.9282001","레드브릿지","경기 파주시 광탄면 기산로 329","","네이버 지도","https://map.naver.com/p/search/%EB%A0%88%EB%93%9C%EB%B8%8C%EB%A6%BF%EC%A7%80%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EA%B4%91%ED%83%84%EB%A9%B4%20%EA%B8%B0%EC%82%B0%EB%A1%9C%20329","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"200","200","모텔청화","파주시 문산읍 문향로 69-15","경기도 파주시 문산읍 문산리 61-78","37.8584144109","126.7845765847","재확인 필요","37.8565149","126.7843218","로얄모텔","경기 파주시 문산읍 문향로49번길 20 로얄빌딩 8층 로얄모텔","","네이버 지도","https://map.naver.com/p/search/%EB%A1%9C%EC%96%84%EB%AA%A8%ED%85%94%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C49%EB%B2%88%EA%B8%B8%2020","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
