"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"253","253","왕가네","파주시 법원읍 법원로 20","경기도 파주시 법원읍 법원리 434-28","37.8481812797","126.8771263297","재확인 필요","37.8481326","126.8770898","왕가네","경기 파주시 법원읍 법원로 20","경기 파주시 법원읍 법원리 434-28","네이버 지도","https://map.naver.com/p/search/%EC%99%95%EA%B0%80%EB%84%A4%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EB%B2%95%EC%9B%90%EB%A1%9C%2020","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"449","449","웅이네 의정부부대찌개","파주시 파주읍 파발로 9","경기도 파주시 파주읍 파주리 427-16","37.8326616617","126.8184479102","재확인 필요","37.8326923","126.8184735","웅이네의정부부대찌개","경기 파주시 파주읍 파발로 9","경기 파주시 파주읍 파주리 427-16","네이버 지도","https://map.naver.com/p/search/%EC%9B%85%EC%9D%B4%EB%84%A4%20%EC%9D%98%EC%A0%95%EB%B6%80%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%EC%A3%BC%EC%9D%8D%20%ED%8C%8C%EB%B0%9C%EB%A1%9C%209","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
"401","401","원조두지리매운탕 1호점","파주시 적성면 술이홀로2316번길 45","경기도 파주시 적성면 두지리 89-1","37.9639335609","126.8938518363","재확인 필요","37.9638911","126.8938702","원조두지리매운탕 1호점","경기 파주시 적성면 술이홀로2316번길 45 1층","경기 파주시 적성면 두지리 89-1","네이버 지도","https://map.naver.com/p/search/%EC%9B%90%EC%A1%B0%EB%91%90%EC%A7%80%EB%A6%AC%EB%A7%A4%EC%9A%B4%ED%83%95%201%ED%98%B8%EC%A0%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C2316%EB%B2%88%EA%B8%B8%2045","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 1층 상세 표기 및 좌표를 확인함"
"98","98","이브 헤어샵","파주시 금정14길 35 (아동동)","경기도 파주시 아동동 334-4","37.7606061753","126.7765131641","재확인 필요","37.760552","126.7764398","이브헤어샵","경기 파주시 금정14길 35","경기 파주시 아동동 334-4","네이버 지도","https://map.naver.com/p/search/%EC%9D%B4%EB%B8%8C%20%ED%97%A4%EC%96%B4%EC%83%B5%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EA%B8%88%EC%A0%9514%EA%B8%B8%2035%20%28%EC%95%84%EB%8F%99%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
"99","99","이정호 모델헤어","파주시 중앙로 318-1 (금촌동)","경기도 파주시 금촌동 44-21","37.7640668727","126.7748583907","재확인 필요","37.7640656","126.7748476","이정호모델헤어","경기 파주시 중앙로 318-1 이정호모델헤어","경기 파주시 금촌동 44-21","네이버 지도","https://map.naver.com/p/search/%EC%9D%B4%EC%A0%95%ED%98%B8%20%EB%AA%A8%EB%8D%B8%ED%97%A4%EC%96%B4%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20318-1%20%28%EA%B8%88%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
"115","115","일품양평해장국 파주검산점","파주시 평화로 330 (검산동)","경기도 파주시 검산동 135-11","37.7727583399","126.7458659391","재확인 필요","37.7727534","126.745865","일품양평해장국 파주검산점","경기 파주시 평화로 330 일품양평해장국","경기 파주시 검산동 135-11","네이버 지도","https://map.naver.com/p/search/%EC%9D%BC%ED%92%88%EC%96%91%ED%8F%89%ED%95%B4%EC%9E%A5%EA%B5%AD%20%ED%8C%8C%EC%A3%BC%EA%B2%80%EC%82%B0%EC%A0%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%20330%20%28%EA%B2%80%EC%82%B0%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 지점명·도로명 건물번호·지번과 좌표를 확인함"
"403","403","임진강매운탕","파주시 적성면 술이홀로2316번길 39","경기도 파주시 적성면 두지리 88-3","37.9637479009","126.8939768251","재확인 필요","37.963687","126.893981","임진강매운탕","경기 파주시 적성면 술이홀로2316번길 39 임진강매운탕","경기 파주시 적성면 두지리 88-3","네이버 지도","https://map.naver.com/p/search/%EC%9E%84%EC%A7%84%EA%B0%95%EB%A7%A4%EC%9A%B4%ED%83%95%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%88%A0%EC%9D%B4%ED%99%80%EB%A1%9C2316%EB%B2%88%EA%B8%B8%2039","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"457","457","임진강수라상","파주시 파평면 화석정로 101","경기도 파주시 파평면 율곡리 581","37.881984697","126.802213344","재확인 필요","37.8818314","126.8021964","임진강수라상","경기 파주시 파평면 화석정로 101 임진강수라상","경기 파주시 파평면 율곡리 581","네이버 지도","https://map.naver.com/p/search/%EC%9E%84%EC%A7%84%EA%B0%95%EC%88%98%EB%9D%BC%EC%83%81%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%ED%8F%89%EB%A9%B4%20%ED%99%94%EC%84%9D%EC%A0%95%EB%A1%9C%20101","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"222","222","장단가든","파주시 문산읍 임진나루길 133-12","경기도 파주시 문산읍 임진리 8-72","37.8861287125","126.7942377945","재확인 필요","37.8860779","126.7942769","장단가든","경기 파주시 문산읍 임진나루길 133-12","경기 파주시 문산읍 임진리 8-72","네이버 지도","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EA%B0%80%EB%93%A0%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EC%9E%84%EC%A7%84%EB%82%98%EB%A3%A8%EA%B8%B8%20133-12","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 검색 결과 2건 중 정확한 상호의 네이버 지도 상세 POI를 열어 도로명 건물번호·지번과 좌표를 확인함"
"405","405","장단콩퇴골두부","파주시 적성면 칠중3길 145","경기도 파주시 적성면 마지리 19-1","37.9499472864","126.9230753665","재확인 필요","37.9499473","126.9230753","장단콩 퇴골두부","경기 파주시 적성면 칠중3길 145","경기 파주시 적성면 마지리 19-1","네이버 지도","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%87%B4%EA%B3%A8%EB%91%90%EB%B6%80%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%B9%A0%EC%A4%913%EA%B8%B8%20145","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
