"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"154","154","거북이삼겹살","경기도 동두천시 생연로175, 1층(생연동)","","37.9081428","127.0526481","확인 완료","37.9081428","127.0526481","거북이 삼겹살&숯불갈비","경기도 동두천시 생연로 175 1층","경기도 동두천시 생연동 586-6 1층","네이버 지도","https://map.naver.com/p/entry/place/1637951605","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 띄어쓰기와 확장 표기 외 상호·도로명·건물번호·1층이 일치; 2026-09-10 canonical 좌표 반영 완료"
"155","155","고기싸롱","경기도 동두천시 평화로2313번길 7-26(지행동)","","37.8931252","127.0564689","확인 완료","37.8931252","127.0564689","고기싸롱 동두천지행점","경기도 동두천시 평화로2313번길 7-26 101호~102호","경기도 동두천시 지행동 731-2 101호~102호","네이버 지도","https://map.naver.com/p/entry/place/1473511140","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 지점명 보완과 도로명·건물번호 일치; 2026-09-10 canonical 좌표 반영 완료"
"156","156","고봉민김밥 지행역점","경기도 동두천시 중앙로126, 107호(지행동)","","37.892772","127.052538","확인 완료","","","","","","","","미확인","보류","보류","아니오","2026-09-10 Naver 지도 검토: 전체·보조 네이버 지도 검색에서 현재 상세 POI를 찾지 못함"
"157","157","그집순대국","경기도 동두천시 장고갯로157, 제1동(생연동)","","37.908939","127.0652922","확인 완료","37.9088903","127.0654621","그집순대국 본점","경기도 동두천시 장고갯로 157 제1동(생연동)","경기도 동두천시 생연동 219-4 제1동","네이버 지도","https://map.naver.com/p/entry/place/21728036","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 본점 표기 외 상호·도로명·건물번호·제1동 일치; 2026-09-10 canonical 좌표 반영 완료"
"122","122","노블헤어","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","","37.8974429","127.0509186","확인 완료","","","","","","","","미확인","보류","보류","아니오","2026-09-10 Naver 지도 검토: 상가동 202호까지 대조 가능한 현재 상세 POI를 찾지 못함"
"161","161","다원","경기도 동두천시 어수로102번길 6(생연동)","","37.9020567","127.0536323","확인 완료","","","","","","","","미확인","보류","보류","아니오","2026-09-10 Naver 지도 검토: 흔한 상호이며 현재 상세 POI를 특정하지 못함"
"162","162","대왕미가","경기도 동두천시 삼육사로1009(생연동)","","37.8995258","127.062083","확인 완료","","","","","","","","미확인","보류","보류","아니오","2026-09-10 Naver 지도 검토: 현재 상세 POI를 특정하지 못함"
"188","188","빨간풍차제과점","경기도 동두천시 동광로78번길 4(생연동)","","37.908671","127.056708","확인 완료","37.9086992","127.0567007","유재학빨간풍차과자점","경기도 동두천시 동광로78번길 4","경기도 동두천시 생연동 620-3","네이버 지도","https://map.naver.com/p/entry/place/38275614","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 고유 상호와 도로명·건물번호 일치; 2026-09-10 canonical 좌표 반영 완료"
"130","130","신성순 헤어아트","경기도 동두천시 중앙로278, 2층(생연동)","","37.9062244","127.0543695","확인 완료","37.9062335","127.0543694","신성순헤어아트 중앙로점","경기도 동두천시 중앙로 278","경기도 동두천시 생연동 601-20","네이버 지도","https://map.naver.com/p/entry/place/18008034","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 지점 표기 외 상호·도로명·건물번호·2층 일치; 2026-09-10 canonical 좌표 반영 완료"
"132","132","안다미로","경기도 동두천시 지행로107번길 13(지행동)","","37.8930315","127.0592205","확인 완료","37.8930555","127.0592197","안다미로 헤어","경기도 동두천시 지행로107번길 13","경기도 동두천시 지행동 294-2","네이버 지도","https://map.naver.com/p/entry/place/1354770437","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 헤어 확장 표기 외 상호·도로명·건물번호 일치; 2026-09-10 canonical 좌표 반영 완료"
"133","133","에이치H헤어","경기도 동두천시 중앙로134-26, 1층 105호(지행동)","","37.8931681","127.0538155","확인 완료","37.893168","127.0538155","H 헤어","경기도 동두천시 중앙로 134-26 1층 105호(지행동)","경기도 동두천시 지행동 694-2 1층 105호","네이버 지도","https://map.naver.com/p/entry/place/37761475","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 한글·영문 표기 차이 외 도로명·건물번호·1층 105호 일치; 2026-09-10 canonical 좌표 반영 완료"
"171","171","우막산순대국","경기도 동두천시 평화로2261번길 22(지행동)","","37.8902959","127.0565284","확인 완료","37.8903019","127.0563986","우막산순대국 본점","경기도 동두천시 평화로2261번길 22 우막산순대국","경기도 동두천시 지행동 736-5 우막산순대국","네이버 지도","https://map.naver.com/p/entry/place/1389131013","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 본점 표기 외 상호·도로명·건물번호 일치; 2026-09-10 canonical 좌표 반영 완료"
"172","172","유경장작구이","경기도 동두천시 평화로2910번길 10(상봉암동)","","37.9459138","127.0617488","확인 완료","37.946024","127.0618104","유경참나무장작구이","경기도 동두천시 평화로2910번길 10","경기도 동두천시 상봉암동 140-9","네이버 지도","https://map.naver.com/p/entry/place/12017433","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 참나무 확장 표기 외 상호·도로명·건물번호 일치; 2026-09-10 canonical 좌표 반영 완료"
"134","134","이선희헤어샵","경기도 동두천시 삼육사로896, 1층(생연동)","","37.90003","127.0495185","확인 완료","37.8998856","127.0495467","이선희헤어샵 동두천","경기도 동두천시 삼육사로 896 1층","경기도 동두천시 생연동 806-3 1층","네이버 지도","https://map.naver.com/p/entry/place/1528257856","확인 완료","확인 후보","최종 승인","예","2026-09-10 Naver Place 상세 POI 대조 및 통합 safety gate 통과: 지역명 추가 외 상호·도로명·건물번호·1층 일치; 2026-09-10 canonical 좌표 반영 완료"
"135","135","이지현미용실","경기도 동두천시 중앙로295번길 26(생연동)","","37.9082384","127.0530444","확인 완료","","","","","","","","재확인 필요","반려","반려","아니오","2026-09-10 Naver 지도 검토: POI 이지현미용실의 건물번호 23이 정본 26과 불일치"
"136","136","인헤어","경기도 동두천시 삼육사로902, 2동 104호(생연동)","","37.8995915","127.050081","확인 완료","","","","","","","","재확인 필요","반려","반려","아니오","2026-09-10 Naver 지도 검토: POI 인헤어의 건물번호 904가 정본 902 및 2동 104호와 불일치"
