"정본CSV행번호","업소명","소재지도로명주소","기존전화번호","기존할인정보","공식업소명","공식주소","공식전화번호","공식메뉴","공식할인정보","상호주소일치","전화일치","판정","검토결정","정본반영여부"
"337","가마골 백숙","경기도 양주시 장흥면 북한산로 1028","031-861-4800","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","가마골 백숙","양주시 장흥면 북한산로 1028","031-861-4800","백숙, 삼계탕","만두한판 서비스 제공","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"338","거석골","경기도 양주시 백석읍 기산로 503","031-876-7658","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","","","","","","False","False","공식목록 미발견","미검토","아니오"
"339","거시기닭갈비","경기도 양주시 엄상동길 22-25","031-859-9982","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","거시기닭갈비","양주시 엄상동길 22-25","031-859-9982","닭갈비","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"340","고봉막국수","경기도 양주시 장흥면 권율로 88, 상가동 1층","031-829-2988","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","고봉막국수","양주시 장흥면 권율로 88, 상가동 1층","031-829-2988","막국수","10% 할인(주료,음료 제외)","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"341","구들장생고기","경기도 양주시 엄상동길 66","031-858-7892","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","구들장생고기","양주시 엄상동길 66","031-858-7892","생고기","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"342","김밥나라","경기도 양주시 평화로 1426","031-858-1558","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","김밥나라","양주시 평화로 1426","031-858-1558","전메뉴","10% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"343","김삿갓토종순대국","경기도 양주시 평화로 1556","031-864-4100","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","김삿갓 순대국","양주시 평화로 1556","031-864-4100","순대국","1,000원 할인","False","True","상호 변경 가능성","미검토","아니오"
"344","다찜(고암점)","경기도 양주시 고암길 32","031-863-3233","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","다찜(고암점)","양주시 고암길 32","031-863-3233","아구찜","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"345","덕정갈비","경기도 양주시 덕정길 58","031-862-8811","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","덕정갈비","양주시 덕정길 58","031-862-8811","갈비, 식사","5% 할인","True","True","현재 공식 목록 일치 후보","미검토","아니오"
"346","두끼떡볶이(양주고읍점)","경기도 양주시 고읍남로 36, 2층","031-821-2771","군 장병 대상 상시 할인(할인율·적용 품목은 업소별 상이, 방문 전 문의)","두끼떡볶이(양주고읍점)","양주시 고읍남로 36, 2층","031-821-2771","떡볶이 무한리필","방문군인 눈꽃치즈 무료 제공","True","True","현재 공식 목록 일치 후보","미검토","아니오"
