"업소명","소재지도로명주소","업소전화번호","메뉴","할인정보"
"등촌칼국수","양주시 백석읍 고릉말로150번길 28 (1층)","031-879-6070","샤브샤브","10% 할인"
"산하식당","양주시 백석읍 기산로 410","031-871-9369","한우","10% 할인"
"여우별꽃","양주시 백석읍 기산로 614","031-871-0373","커피, 파스타, 피자","10% 할인"
"삼호산장","양주시 백석읍 기산로 435","031-876-2351","한우전문","10% 할인"
"행복한사람들","양주시 백석읍 권율로 852","031-871-8875","돈까스 등 경양식","20% 할인"
"삼오식당","양주시 부흥로 1398번길 51","031-840-8828","부대찌개","10% 할인"
"쪽삼","양주시 어하고개로 56, 1층","031-856-8292","삼겹살, 쪽갈비, 이베리코","5% 할인(단품메뉴)"
"등촌샤브칼국수","양주시 송랑로 64, 1층","031-843-8777","칼국수, 막국수","10% 할인(점심런치메뉴는 제외)"
"만두와김밥마을","양주시 부흥로 2122","031-848-1796","분식","20% 할인"
"장어천국","양주시 어하고개로 1, (1층일부, 2층일부)","031-844-0592","장어","5% 할인"
"두끼떡볶이(양주고읍점)","양주시 고읍남로 36, 2층","031-821-2771","떡볶이 무한리필","방문군인 눈꽃치즈 무료 제공"
"최고집 찜 칼국수","양주시 부흥로 2122 (삼숭동)","031-846-4818","칼국수","5% 할인"
"초가마을","양주시 장흥면 권율로309번길 159","031-855-1124","닭, 오리고기 전문","10% 할인"
"정주산장","양주시 장흥면 호국로550번길 102-127","031-826-4636","우렁,제육쌈밥, 코다리찜 등 전메뉴","10% 할인"
"여울마당","양주시 장흥면 유원지로 318","031-855-2299","삼겹살, 닭, 오리 요리","10% 할인(사전예약필수)"
"삼하골","양주시 장흥면 일영로 380","031-871-5295","오리요리","10% 할인(주류제외)"
"고봉막국수","양주시 장흥면 권율로 88, 상가동 1층","031-829-2988","막국수","10% 할인(주료,음료 제외)"
"페트라숯불구이","양주시 장흥면 일영로 601-100","031-855-0325","오리훈제","5% 할인"
"신선식당","양주시 장흥면 권율로309번길 149","031-855-5213","오리구이,닭도리탕","닭, 오리요리 10% 할인"
"가마골 백숙","양주시 장흥면 북한산로 1028","031-861-4800","백숙, 삼계탕","만두한판 서비스 제공"
"이시돌선생의 약선도가","양주시 장흥면 권율로 88","031-855-8275","한정식, 보양식","10% 할인"
"장흥숯불갈비","양주시 화합로1361번길 32","031-864-0310","한식","10% 할인"
"술들다","양주시 덕정4길 11","0507-1310-8451","치킨,골뱅이, 똥집튀김, 감자튀김","1,000원 할인"
"덕정갈비","양주시 덕정길 58","031-862-8811","갈비, 식사","5% 할인"
"덕화원","양주시 덕정길 4","031-858-0103","자장면,유산슬","식사류 인당 500원 할인(군인단체회식제외)"
"김밥나라","양주시 평화로 1426","031-858-1558","전메뉴","10% 할인"
"만수장","양주시 평화로 1552-1","031-858-8289","짜장,짬뽕,탕수육","10% 할인"
"채선당(양주덕계점)","양주시 평화로1479번길 8","031-859-5958","샤브샤브","10% 할인"
"김삿갓 순대국","양주시 평화로 1556","031-864-4100","순대국","1,000원 할인"
"다찜(고암점)","양주시 고암길 32","031-863-3233","아구찜","5% 할인"
"독도회수산","양주시 고암길 64","031-863-8256","회","5% 할인"
"거시기닭갈비","양주시 엄상동길 22-25","031-859-9982","닭갈비","5% 할인"
"안다미로 샤브샤브","양주시 엄상동길 22-26","031-858-2233","샤브샤브","5% 할인"
"야한소갈비살(덕정점)","양주시 엄상동길 30-3","031-859-8859","소갈비","5% 할인"
"소문난쭈꾸미생삼겹","양주시 엄상동길 50-16","031-857-4473","쭈꾸미","5% 할인"
"구들장생고기","양주시 엄상동길 66","031-858-7892","생고기","5% 할인"
"본도시락 덕정점","양주시 독바위로 9","031-858-4282","도시락","10% 할인(포장만)"
