"rowNumber","storeName","inputAddress","expectedSido","replacedInvalidCoordinate","status","resultCount","matchedAddress","latitude","longitude","message"
"2","레드폴바버샵 강남신사점","서울특별시 강남구 논현로151길 41","서울특별시","False","MATCHED","1","서울특별시 강남구 논현로151길 41","37.5195936","127.0248338","시도 일치 단일 검색 결과"
"3","레드폴바버샵 강남역삼점","서울특별시 강남구 도곡로3길 13","서울특별시","False","MATCHED","1","서울특별시 강남구 도곡로3길 13 르-메이에르 타운","37.4910688","127.0326686","시도 일치 단일 검색 결과"
"6","힐빌리바버샵","서울특별시 강동구 양재대로96길 26","서울특별시","False","MATCHED","1","서울특별시 강동구 양재대로96길 26 둔촌동 광남캐스빌","37.5291947","127.1385431","시도 일치 단일 검색 결과"
"20","굿바이브바버샵","서울특별시 광진구 용마산로21길 27","서울특별시","False","MATCHED","1","서울특별시 광진구 용마산로21길 27","37.5634676","127.0859387","시도 일치 단일 검색 결과"
"21","굿보이즈 바버샵","서울특별시 광진구 강변역로4길 56","서울특별시","False","MATCHED","1","서울특별시 광진구 강변역로4길 56 광진해모로리버뷰","37.5333472","127.0921658","시도 일치 단일 검색 결과"
"22","쵸리","서울특별시 광진구 뚝섬로51길 57","서울특별시","False","MATCHED","1","서울특별시 광진구 뚝섬로51길 57","37.5347912","127.0813715","시도 일치 단일 검색 결과"
"26","9로평상","서울특별시 구로구 서해안로 2134 (항동)","서울특별시","False","MATCHED","1","서울특별시 구로구 서해안로 2134","37.4821597","126.8260772","시도 일치 단일 검색 결과"
"34","허슬러즈바버샵 홍대","서울특별시 마포구 와우산로 51-6","서울특별시","False","MATCHED","1","서울특별시 마포구 와우산로 51-6","37.5492912","126.9226741","시도 일치 단일 검색 결과"
"36","크레올 바버샵","서울특별시 서대문구 연희로15길 35 (연희동)","서울특별시","False","MATCHED","1","서울특별시 서대문구 연희로15길 35","37.568987","126.9300868","시도 일치 단일 검색 결과"
"39","더벙커 맨즈헤어 바버샵 목동본점","서울특별시 양천구 오목로 337-10","서울특별시","False","MATCHED","1","서울특별시 양천구 오목로 337-10 소망빌딩","37.525195","126.8753456","시도 일치 단일 검색 결과"
