"rnum","업소명","주소","전화번호","혜택유형","처리상태","좌표출처","좌표검증상태","위도","경도","반환주소","검토메모"
"13","다비치안경보청기 미아사거리점","서울특별시강북구월계로3(미아동, (덕신빌딩 1층))","02-434-4470","할인","REUSED","네이버 Geocoding API","확인 완료","37.6095768","127.0306615","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"14","와이제이안경원","서울특별시도봉구도당로15길3(방학동)","02-954-1011","할인","REUSED","네이버 Geocoding API","확인 완료","37.6657649","127.0368787","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"16","미도치과의원","서울특별시강남구삼성로150(대치동, (미도상가 202-1))","02-552-2879","할인","REUSED","네이버 Geocoding API","확인 완료","37.4947911","127.0664816","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"36","세컨디포레스트행궁점","경기도수원시 팔달구화서문로46번길121층 (신풍동)","070-8812-0103","할인","ADDRESS_MISMATCH","","재확인 필요","","","","도로명·건물번호가 원본과 일치하지 않음"
"37","버거스테이지","경기도수원시 팔달구신풍로23번길63- 21층 (신풍동)","0507-1482-0304","할인","MATCHED","네이버 Geocoding API","확인 완료","37.2837258","127.011328","경기도 수원시 팔달구 신풍로23번길 63-2","시·도, 도로명과 건물번호가 일치하는 단일 결과"
"38","이채휴우리옷","경기도수원시 팔달구정조로893B동101호(장안동, 장안사랑채)","031-233-3412","할인","REUSED","네이버 Geocoding API","확인 완료","37.2875521","127.014492","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"39","몸숨쉼정원","경기도수원시 영통구광교중앙로248번길7- 2C동214호(하동, 원희캐슬광교)","0507-1346-8422","할인","REUSED","네이버 Geocoding API","확인 완료","37.2910333","127.0666707","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"42","비주얼웍스","경기도평택시고덕면도시지원1길116848호(고덕면해창리, 고덕G1지식산업센터)","0507-1447-3332","할인","NO_RESULT","","미확인","","","","주소 검색 결과 없음"
"43","서울와이즈치과","경기도안양시 만안구안양로303번길8(안양동)","031-464-2808","할인","REUSED","네이버 Geocoding API","확인 완료","37.3990474","126.920482","","업소명·주소 정규화 키가 기존 검증 좌표와 일치"
"44","우동명가기리야마본진","서울특별시강남구강남대로84길23(역삼동, (한라클래식 지하1층))","02-567-0068","할인","MATCHED","네이버 Geocoding API","확인 완료","37.4971584","127.0304025","서울특별시 강남구 강남대로84길 23 한라클래식오피스텔","시·도, 도로명과 건물번호가 일치하는 단일 결과"
