업종명,업소명,지역명,소재지도로명주소,소재지지번주소,위도,경도,할인정보,업소전화번호,데이터기준일자,혜택대상,증빙자료,혜택시작일,혜택종료일,이용제한,비고,출처URL,출처유형,검증상태,수집일자
미용,레드폴바버샵 강남신사점,강남구,"서울특별시 강남구 논현로151길 41, 2층 201호",서울특별시 강남구 신사동 561,,,"군인·경찰·소방관 할인 커트 39,000원→29,000원",070-8211-3668,2025-03-02,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,금·토요일 및 공휴일 할인 제외 안내가 있어 방문 전 재확인,가격·대상과 제외 요일을 공개 후기에서 확인; 현재 주소·전화 교차확인,https://blog.naver.com/brave1011/223781023634 | https://blog.naver.com/eastssunrise/223641759588,네이버 이용 후기·현재 플레이스 메뉴,B-: 공개 후기+현재 영업 교차확인,2026-08-15
미용,레드폴바버샵 강남역삼점,강남구,"서울특별시 강남구 도곡로3길 13, 르메이에르 2층 203-2호",서울특별시 강남구 역삼동 837-19,,,"군인·경찰·소방관 할인 커트 39,000원→29,000원",070-8672-9217,2026-06-03,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,현재 주소·전화와 할인 메뉴를 교차확인; 적용 요일은 결제 전 문의,https://blog.naver.com/steadylog-/224304806064 | https://blog.naver.com/wbwbxoxo/223892696793,최근 네이버 이용 후기·현재 플레이스 메뉴,B-: 2026-06-03 최근 후기,2026-08-15
음식점,우동명가기리야마본진,강남구,"서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))",,37.4971584,127.0304025,서비스 이용료의 20% 할인,02-567-0068,2026-08-15,복무중인사람(현역병),복무확인서,2024-11-12,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
카페,투오프커피,강남구,"서울특별시 강남구역삼로9길20(역삼동, (1층))",,37.495297,127.0339254,서비스 이용료의 20% 할인(모든 음료가 가능하나 병 음료는 제외),070-7704-6600,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람","동원훈련이수증, 모범예비군증, 복무확인서",2024-04-17,2027-04-17,없음,"1년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,힐빌리바버샵,강동구,"서울특별시 강동구 양재대로96길 26, 광남캐스빌 근생 101호",,,,"군인·경찰·소방관 할인 제공(할인액 미공개; 일반 커트 공개가격 38,000원)",0507-1380-0176,2026-05-23,군인·경찰·소방관,군인증 또는 관련 신분 확인자료,,,혜택 변경 가능성이 있어 방문·예약 직전 업소 확인,현재 주소·전화·메뉴와 군·경·소방 할인 안내를 교차확인; 할인액은 방문 전 문의,https://blog.naver.com/edh0368/224292893974,최근 네이버 이용 후기·플레이스 안내,B-: 2026-05-23 최근 후기,2026-08-15
음식점,가운소곱창,강동구,"서울특별시 강동구상암로42(천호동, 131호)",,37.5495882,127.1279034,서비스 이용료의 10% 할인,0507-1372-6863,2026-08-15,"복무중인사람(현역병,사회복무요원,전문산업기능요원)",복무확인서,2024-05-10,2027-05-10,없음,"3년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,송미용실,강북구,서울특별시 강북구인수봉로78길13(수유동),,37.644609,127.0116053,서비스 이용료 면제,02-905-2225,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-04-14,2027-04-14,없음,"2년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
미용,착한이발,강북구,"서울특별시 강북구도봉로371(수유동, (지하1층))",,37.6404577,127.0278529,서비스 이용료의 10% 할인,010-4769-2350,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-04-11,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,만미정 식당,강북구,서울특별시 강북구솔매로43길96(미아동),,37.6299344,127.0228654,서비스 이용료의 10% 할인 *강북구 착한가격(모범)가게기 때문에 뭐든지 잘 드실수 있습니다.,02-983-8884,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람","동원훈련이수증,모범예비군증,복무확인서",2025-04-16,2027-04-16,없음,"2년 (기간내 변경,해제 신청 없을 시 자동 재연장)",https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
음식점,강서풍천민물장어,강서구,서울특별시 강서구양천로18길9(방화동),,37.5729726,126.812989,서비스 이용료의 10% 할인,02-2661-1033,2026-08-15,"동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","동원훈련이수,모범예비군,명문가증,복무확인서",2025-09-25,,없음,우대기간: 무기한,https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357,병무청 공식 나라사랑가게 실시간 DB,A: 병무청 공식 실시간 DB,2026-08-15
